id,acorn,acorn-grouped,aff
1884,ACORN-E,Affluent,1
1888,ACORN-K,Adversity,0
1909,ACORN-L,Adversity,0
1913,ACORN-F,Comfortable,0
1914,ACORN-E,Affluent,1
1917,ACORN-Q,Adversity,0
1918,ACORN-E,Affluent,1
1927,ACORN-K,Adversity,0
1929,ACORN-K,Adversity,0
1935,ACORN-G,Comfortable,0
1940,ACORN-G,Comfortable,0
1943,ACORN-E,Affluent,1
1944,ACORN-F,Comfortable,0
1945,ACORN-L,Adversity,0
1965,ACORN-F,Comfortable,0
1966,ACORN-B,Affluent,1
1971,ACORN-F,Comfortable,0
1972,ACORN-E,Affluent,1
1983,ACORN-Q,Adversity,0
1991,ACORN-H,Comfortable,0
2001,ACORN-Q,Adversity,0
2007,ACORN-E,Affluent,1
2009,ACORN-Q,Adversity,0
2027,ACORN-E,Affluent,1
2033,ACORN-Q,Adversity,0
2038,ACORN-L,Adversity,0
2041,ACORN-L,Adversity,0
2042,ACORN-E,Affluent,1
2043,ACORN-P,Adversity,0
2066,ACORN-E,Affluent,1
2077,ACORN-Q,Adversity,0
2085,ACORN-K,Adversity,0
2086,ACORN-F,Comfortable,0
2100,ACORN-E,Affluent,1
2129,ACORN-Q,Adversity,0
2138,ACORN-D,Affluent,1
2168,ACORN-Q,Adversity,0
2170,ACORN-D,Affluent,1
2172,ACORN-E,Affluent,1
2179,ACORN-E,Affluent,1
2190,ACORN-D,Affluent,1
2192,ACORN-L,Adversity,0
2204,ACORN-E,Affluent,1
2208,ACORN-O,Adversity,0
2212,ACORN-L,Adversity,0
2231,ACORN-F,Comfortable,0
2233,ACORN-D,Affluent,1
2241,ACORN-E,Affluent,1
2259,ACORN-E,Affluent,1
2261,ACORN-F,Comfortable,0
2269,ACORN-O,Adversity,0
2272,ACORN-M,Adversity,0
2296,ACORN-C,Affluent,1
2299,ACORN-O,Adversity,0
2301,ACORN-F,Comfortable,0
2302,ACORN-E,Affluent,1
2320,ACORN-F,Comfortable,0
2321,ACORN-E,Affluent,1
2333,ACORN-E,Affluent,1
2348,ACORN-F,Comfortable,0
2353,ACORN-Q,Adversity,0
2356,ACORN-P,Adversity,0
2358,ACORN-D,Affluent,1
2364,ACORN-Q,Adversity,0
2365,ACORN-Q,Adversity,0
2366,ACORN-P,Adversity,0
2369,ACORN-N,Adversity,0
2388,ACORN-H,Comfortable,0
2391,ACORN-Q,Adversity,0
2396,ACORN-M,Adversity,0
2400,ACORN-Q,Adversity,0
2411,ACORN-H,Comfortable,0
2417,ACORN-F,Comfortable,0
2422,ACORN-F,Comfortable,0
2428,ACORN-D,Affluent,1
2429,ACORN-P,Adversity,0
2434,ACORN-E,Affluent,1
2458,ACORN-D,Affluent,1
2465,ACORN-F,Comfortable,0
